RatingID,UserID,WineID
3211,1209683,111478
27878,1209980,111478
31227,1258705,111478
41946,1139706,111478
61700,1240747,111478
64438,1123010,111478
64751,1003868,111478
73066,1224698,111478
97040,1265698,132977
101042,1218495,111478
104042,1181964,111478
105295,1055576,111478
114959,1281978,111478
115376,1362711,111478
116084,1201703,111478
116805,1002043,111478
117863,1267664,111478
118647,1004940,111478
119610,1122909,111478
121204,1003590,111478
121791,1196127,111478
123861,1104208,111478
170768,1216278,179386
176637,1231523,132977
220666,1188640,125678
254354,1666961,143800
276336,1181964,113730
282606,1305310,133447
291229,1406880,132977
296807,1705206,138625
317363,1151047,126285
318072,1938871,116418
319476,1216861,143800
326371,2040165,105748
337646,1619285,105748
340874,1687371,116418
358656,1267880,132977
365304,1165079,105748
366794,1169012,132977
380081,1215616,125678
383319,1176849,105748
383495,1200844,162507
386021,1324684,116418
391388,1216278,105748
391709,1086669,112875
393664,2022471,105748
393665,1209706,105748
397340,1844375,116418
415111,1183964,132977
419693,1097858,105748
429428,1278945,116418
441216,1805165,116418
459835,1216384,133447
484324,1142171,143800
518626,1207134,181199
521355,1241042,126285
620313,1000227,115171
621341,1665977,111478
626645,1215616,175908
629749,1132316,149765
634906,1356631,187359
637227,1719976,150384
665371,1183876,149765
667023,1151735,187359
676003,1169598,113730
686014,1937405,149765
696412,1475824,149765
704162,1007564,187359
707446,1009767,195831
707473,2012543,195831
726743,1215345,150384
733656,1196681,187359
736356,1218054,113730
736764,1209420,143800
741842,1225099,139210
754785,1961834,143800
770478,1196586,113730
788397,1250074,113730
814957,1512863,143800
887682,1949438,188472
908589,1199660,118927
911244,1950144,179386
917020,1041653,167464
922725,1530192,188472
943876,1206416,173331
951535,1197650,149550
953624,1076051,162507
976193,1061040,187359
991734,1180565,126285
993629,1839138,144081
996599,1008464,103070
998584,1152133,113730
1093355,1165926,187359
1103316,1316630,127658
1123727,1212437,192515
1156539,1158810,162507
1169809,1256475,108974
1215416,1118949,181199
1219248,1221355,113730
1253100,1026102,101847
1268954,1176215,133447
1308301,1685193,188472
1323734,1153682,142170
1366768,1197774,142170
1381048,1588746,175754
1413045,1834754,142170
1417086,1908334,162507
1417684,1163037,113730
1429868,1224698,113730
1458507,1195147,126285
1464401,1816557,188472
1470968,1118234,140114
1473511,1380716,140114
1486208,1168418,179958
1488452,1563515,198580
1493373,1761781,195831
1504115,1225190,147123
1511558,1535443,144081
1516647,1064787,162507
1521908,1694373,147123
1524159,1386524,186843
1537230,1097620,144081
1542254,2049542,147123
1558212,1839061,144081
1558319,1386317,147453
1558560,1182206,102055
1600439,1863413,168182
1604075,1483871,188472
1615154,1176822,113730
1620471,1172707,149407
1632722,1033997,140114
1647404,1119141,195831
1647933,1054965,168182
1651248,1270073,147123
1654510,1365815,140114
1656551,1037950,140114
1660842,1302115,144081
1661522,1083783,168182
1668416,1126357,115171
1674460,1557241,140114
1682803,1711982,138765
1688465,1071163,149407
1712401,1674727,149407
1714707,1362711,128544
1721233,1137987,167464
1732062,1155087,195831
1741481,1177231,162507
1743765,2048967,195831
1754178,1209317,149765
1783184,1492019,147123
1784652,1387263,149407
1791784,1798720,102055
1800062,1398559,149407
1804822,1181964,112875
1807190,1101933,147123
1818124,1977712,188472
1855528,1216278,112875
1862233,1196247,126285
1866613,1657857,175754
1871966,1070726,117009
1898497,1249047,147123
1919940,1114691,147123
1922522,1003643,113730
1935848,1412268,150384
1942145,1357748,149765
1943012,1390273,105911
1959411,1971004,126285
2006453,1034367,113730
2019545,1280729,195831
2023556,1000064,140962
2037260,1084433,139210
2073041,1026102,168182
2129255,1097430,162507
2173535,1711982,147123
2192507,1177579,138622
2243311,1158810,100191
2272803,1183949,179386
2276986,1003868,113730
2280276,1151866,162507
2303271,1508663,150384
2306511,1291076,162507
2353137,1224698,112875
2375848,1137670,140962
2407514,1215193,102055
2417551,1170710,162507
2440954,1000292,103070
2454174,1843929,144081
2475775,1307419,175754
2492428,1018208,162507
2500754,1159609,133447
2504020,1196484,162507
2536809,1084433,168182
2559140,1162201,138765
2567059,1070726,179386
2595747,1185372,115171
2608752,1123010,113730
2614130,1200844,179386
2614861,1005799,113730
2623128,1076484,162507
2644207,2037611,100062
2656630,1278516,162507
2659480,1863413,167464
2666884,1119279,174274
2672145,1122926,175454
2675788,1219497,125678
2685793,1177579,162507
2687114,1267082,168182
2713544,1002043,195831
2713925,1195757,162507
2714715,1126323,175908
2716068,1055073,168182
2741324,1176869,115171
2766734,1186436,140962
2791867,1137987,162507
2863598,1000272,103070
2875043,1863413,162507
2877915,1128911,179386
2900392,1002016,112875
2936767,1192327,186843
2941521,1007104,140962
2988669,1185372,117009
2994901,1088859,186843
3015098,1223319,115171
3058739,1188640,113730
3086138,1209980,116418
3102037,1001862,168182
3108827,1122909,113730
3122414,1209980,112875
3143575,1055113,113730
3167833,1505546,186843
3179120,1176215,175454
3256774,1420286,192515
3262970,1191224,117009
3308419,1587396,149550
3373437,1006657,139210
3382751,1000045,167464
3384433,1240392,168182
3415095,1347291,175754
3416481,1186232,193488
3422334,1923982,175754
3424710,1214997,149550
3426853,1845057,175754
3439266,1009797,113730
3458203,1453983,196838
3459632,1984572,142170
3487848,1422813,181199
3502034,1838239,192515
3539638,1456976,142170
3539942,1765977,142170
3552229,1913676,103433
3611472,1388038,108974
3615054,1393260,108974
3624352,1705206,193488
3626575,1206416,117009
3644941,1181902,126285
3670222,1139706,179386
3672143,2062232,108974
3709991,1115656,174274
3725273,1794991,196838
3733077,1195531,185481
3734795,1579799,168182
3768135,1223011,128544
3785839,1149843,112875
3786712,1221490,160271
3827552,1392981,193488
3833900,1281181,149550
3866482,1128911,112875
3868697,1184524,147453
3872623,1186052,147453
3894282,1006657,149550
3896439,1216669,103070
3920288,1406797,149550
3942400,1667743,149550
3956254,1324948,193488
3965082,1929071,181199
3971619,1385982,138622
3993168,1076051,140962
4031740,1269514,101847
4033571,1055666,193488
4068133,1639305,150384
4090358,1055589,108974
4119300,1219497,112875
4129648,1218423,140962
4130578,1001862,179386
4179207,1121614,150384
4198268,1354043,198580
4235665,1994334,185481
4258253,1560986,132977
4269442,1168497,174274
4313025,1279250,196838
4349297,1561809,133447
4349338,1065621,193488
4365945,1006022,140962
4372015,1089420,168182
4379294,1863413,174274
4419659,1005780,186843
4424099,1132313,113730
4460702,1188640,100191
4462821,1588143,147453
4469483,1011974,113730
4477804,1132313,193488
4503058,1065621,185481
4503309,1218054,139210
4538048,1095942,175454
4539376,1387930,128544
4564151,1402003,138625
4564199,1162400,174274
4571138,1291140,192515
4610265,1240125,102645
4621692,1206310,128544
4655916,1155478,168182
4656947,1205028,174274
4660292,1177972,181199
4660314,1003603,180268
4678901,1142318,103667
4701213,1084433,119803
4734689,1399011,198580
4855377,1195757,193488
4855602,1754851,186843
4896034,1205028,114973
4896292,1054965,168457
4954258,1000064,167464
4954574,1403616,196838
4960137,1726673,180268
4968441,1122926,193488
4978482,1509439,196838
5001685,1001862,193488
5021245,1183949,163101
5051995,1250074,112875
5052220,1673785,193488
5067014,1664756,102079
5080146,1905822,108974
5080761,1925634,102645
5090991,1902206,180712
5096577,1360634,167464
5105963,1177972,179386
5108027,1082061,102079
5156695,1278886,147453
5157124,1004369,180268
5175684,1003724,180268
5238275,1165464,175454
5276323,1169598,179386
5294585,1240290,142170
5295966,1176869,193488
5323131,1291076,193488
5351307,1009797,179386
5389600,1434293,147453
5394287,1048267,179386
5397506,1979847,141193
5419701,1634303,192515
5425246,1152133,112875
5444309,1203548,118927
5458351,1456446,126510
5495409,1673785,168457
5530966,1184057,175454
5539118,1182206,180268
5563490,1003590,193488
5574907,1079127,168182
5591701,1169832,153611
5604209,1097430,193488
5610250,1500724,180712
5614987,1000272,175908
5615591,1203548,114973
5620546,1193656,185481
5676388,1160496,115171
5701808,1163037,193488
5702147,1000227,118927
5722145,1149843,138765
5735792,1199243,180268
5758549,1240290,138765
5779835,1385982,143806
5824861,1009797,180712
5834329,1199243,179958
5845768,1189736,149407
5856730,1055576,117009
5891066,1519799,193488
5902405,1219368,192515
5942618,1004804,167464
5958740,1222784,196838
5971786,1126357,167464
5983068,1392949,175754
6036448,1149843,114973
6061024,1151866,167464
6066880,1362711,179386
6087854,1142452,167464
6147456,1145862,126510
6159725,1000272,193488
6232837,1137987,168457
6251461,1402844,167464
6267647,1083783,193488
6279514,1402003,167464
6280795,1886858,153611
6295961,1168497,147453
6311916,1221369,167464
6313238,1681975,105585
6334108,1186396,173331
6352107,1221418,138625
6355848,1284179,153611
6379603,1034385,141193
6385546,1054965,167464
6459194,1077974,117009
6487392,1215928,179386
6495011,1139706,185481
6523268,1006579,128544
6524334,2032505,187681
6536015,1835781,187681
6554935,1070932,193488
6559792,1240392,167464
6577549,1003951,138765
6581130,1283369,140262
6594261,1034367,100191
6622556,1028961,187681
6642042,1243930,160277
6685235,1006022,140262
6696453,1034455,168182
6721727,1684271,120737
6737027,1182206,180712
6742122,1119279,167464
6761830,1413590,186843
6766138,1065621,167464
6805197,1054994,168182
6822957,1269514,100191
6830109,1431443,127658
6832931,1402844,168182
6868434,1694295,127658
6873173,1072067,116418
6921650,1026131,127658
6942727,1005799,193488
6948250,1408719,187681
6972458,1261962,168182
7018975,1119279,193488
7054572,1611630,187681
7057409,1095426,187681
7073065,1147016,118457
7082850,1362800,168182
7110015,1361698,100191
7144313,1366134,100191
7153397,1244340,168182
7159393,1329637,187681
7187926,1028358,195300
7219157,1100262,138299
7229235,1944444,150820
7253448,1168418,186843
7253916,1223953,167079
7259884,1244654,138299
7271254,1210126,128544
7271278,1936578,128544
7322365,1006433,114973
7337807,1209683,140262
7357994,1470672,185481
7368780,1007263,167464
7384377,1142452,179386
7399560,1207856,180712
7405512,1203548,125678
7414192,1266897,138625
7452336,1147924,179386
7480522,1100007,179386
7480598,1244678,101847
7518358,1501770,167464
7580866,1196586,118927
7670722,1155478,167464
7750497,1083620,100191
7753749,1284388,174274
7766229,1361698,174274
7768309,1519799,174274
7797087,1137670,180268
7813309,1762859,174274
7820389,1140283,174274
7839311,1222601,174274
7840705,2015016,105585
7859806,1240125,174274
7862308,1153362,185481
7864775,1906865,174274
7883644,1034455,174274
7900726,1258705,174274
7901827,1366163,180712
7906707,1220876,174274
7919638,1000045,174274
7986813,1006724,105585
8008962,1392981,103667
8051771,1223304,138625
8072794,1160380,180712
8090600,1165941,100191
8103045,1219664,179386
8109505,1255156,105585
8172787,1147924,179958
8186622,1170228,126510
8193374,1400386,105585
8197785,1867074,105585
8202866,1705206,119803
8218489,1192574,198580
8223716,1006973,160277
8236942,1142588,100191
8245504,1193926,163101
8284371,1366163,100191
8301262,1135187,133447
8301938,1711501,160277
8305674,2037735,198580
8352725,1075898,179958
