Code,RegionName,Country,PC1,PC2,PC3,PC4,PC5,PC8,PC9,PC12,PC25,PC30,PC31,PC37,PC39,PC41,PC46,PC55,PC61,Winename
1.346090738,1.214549902,0.097295679,-0.217611835,-0.232397853,0.046728031,0.515217541,-0.07232421,-0.11706398,-0.168578438,-0.300410553,0.016961963,-0.561019464,-0.270359868,-0.050591259,-0.102574871,-0.11818354,-0.197280231,-0.655338773,0.571897619,Al Poggio Chardonnay di Toscana
0.391276832,-0.320022825,0.607440588,-0.497979831,1.865693411,-1.601233427,-1.921163758,-0.262755062,-4.959238416,-2.602337638,0.386995097,1.964660712,0.118854046,1.598857836,-0.818072658,0.04228779,0.144216759,0.19673175,0.300388028,0.007129791,Além do Rio Branco
-0.563537073,-1.503836072,-0.667921686,1.022305688,-0.271405922,-0.213729328,-0.579941249,0.026656391,0.186581125,-0.710793613,0.089975923,-1.572156431,-0.159516134,2.23672172,0.869289232,-0.218106452,-1.207361526,0.964209518,0.300838114,0.979944517,Bandol Cuvée Spéciale La Louffe
-0.08613012,-1.416146202,0.097295679,0.368555716,-0.45635652,-0.382507542,-0.585344351,0.250725708,-0.507599359,0.268676275,-0.547441883,-0.296413859,0.866925916,-0.904456539,-0.194577992,-0.617292812,-0.259738333,-2.19365041,-1.11910753,-0.243606042,Barbera d'Alba
1.346090738,-1.372301267,0.097295679,-0.529325473,-0.098187556,0.33994722,0.79058895,-0.12644851,0.164350776,-0.589191503,1.297037326,-0.066511777,0.57847776,0.386499004,-0.264800166,-0.24436376,0.033693059,0.476899047,-0.168331845,-0.162071457,Bardolino Classico
-0.08613012,-1.328456331,0.097295679,0.057420944,-0.361039487,-0.173555203,-0.567387991,0.070188962,0.847429964,-0.212891565,1.011326265,-0.107494565,-0.407236347,-0.028302008,0.157267189,-0.503821757,-0.495867941,1.075839045,-1.105757675,0.177722898,Barolo
-0.08613012,-1.328456331,0.097295679,0.529299286,-0.336013683,-0.181176601,-0.499336663,0.099767069,0.513197371,-0.097505515,0.408602707,-0.206392414,-0.091195923,0.102691109,0.039459704,-0.275579105,-0.269500375,0.768043579,-1.607213839,0.344481042,Barolo Riserva
0.868683785,0.337651201,1.627730407,-0.109168258,-0.21028061,-0.066847978,0.244356079,0.06306034,0.03467222,-0.249064192,-0.161783232,-0.278875496,-0.555847032,0.100681749,0.640580336,0.262642576,0.03762599,-0.858568937,-0.283920834,0.028984429,Barrel Select Fumé Blanc
-0.08613012,1.346084707,0.097295679,-0.237087605,-0.257334022,0.124640199,0.420370315,0.019753254,0.067484367,-0.219209722,0.150153954,-0.054545663,-2.129035641,-1.147904754,1.226437922,-1.797503106,7.301794975,1.023404169,0.700083228,0.118560701,Belcaro Vin Santo del Chianti Classico
-1.040944026,0.162271461,-0.412849231,-0.448930093,0.333115791,0.511958478,0.090843868,-0.878780636,-0.718781639,0.947854031,1.649011363,-0.327984076,-0.401611158,1.574006197,-1.376803978,0.678625087,0.095619822,-0.624935499,1.014174102,-0.170276234,Black Label Nik Weis Saar Riesling
-0.08613012,-1.284611396,0.097295679,-0.076936639,-0.231276958,-0.091968988,-0.013532866,0.018976173,0.074719669,-0.316678453,-0.2714915,0.126429029,-0.726669782,-0.741814297,0.424807341,0.276525617,-0.227420605,-0.527851611,-2.016532476,-1.473758682,Brachetto d'Acqui
-0.563537073,-1.240766461,-0.667921686,-0.500342241,0.862837547,0.230312547,0.116110013,-1.305473034,0.076282889,-1.464769365,0.416527128,-2.157321427,0.114848461,1.279344382,-2.574308175,0.536940989,1.107561589,0.948174078,-0.246556429,-0.271959659,Cabardès Rosé
-1.279647502,-0.10079815,-0.92299414,-0.180781136,-0.269947281,-0.035105471,0.47002381,0.043484207,-0.075299081,-0.168892439,-0.180665761,-0.14149436,-0.436030802,-0.610462239,-0.777482529,-0.074637964,-0.084220747,-0.966511424,-0.170099353,-0.208358556,Cabernet Franc
